model_type,placement_type,num_occluders,occluder_size,n,mean,sd,skew,kurtosis,shapiro_W,shapiro_p,normal_at_0p05
resnet50_geirhos_tl,random,5,32,40,1.1451211363077163,0.975404644909597,0.4309650615977009,1.0302045746538377,0.9493381746982019,0.07195795652040549,True
resnet50_geirhos_tl,random,5,64,40,3.5247171759605407,1.7394071830696118,-0.44071003220916166,1.233536143845491,0.9587128406849189,0.15132885989526895,True
resnet50_geirhos_tl,random,5,8,40,0.03982130885124206,0.44099034898602285,0.8948185476885714,1.501151684566481,0.9358024322244957,0.02501673840197413,False
resnet50_geirhos_tl,random,6,16,40,0.2439650535583496,0.624714127334922,1.309640076819976,2.4427851865595462,0.8936967925466668,0.0012596735267131837,False
resnet50_geirhos_tl,random,6,32,40,1.19244327545166,1.3288014526495295,0.3669725916250177,0.06911699918018277,0.9865117485621687,0.9071737024859294,True
resnet50_geirhos_tl,random,6,64,40,4.485642279870808,1.858672018148691,-0.15906504038304348,-0.07910523943540015,0.9914614634411492,0.9888658404901192,True
resnet50_geirhos_tl,random,6,8,40,0.15064460039138794,0.3069644287843263,-0.09650724676258003,0.29576934346621586,0.9738150703633106,0.47111826220058917,True
resnet50_geirhos_tl,random,7,16,40,0.32482281923294065,0.532334769897617,0.24434731916584848,-0.0002114342890520149,0.9809952792172669,0.726414731084928,True
resnet50_geirhos_tl,random,7,32,40,1.734516841173172,1.4345697857851396,0.5341249431474492,0.9713320735446893,0.9633595982056384,0.21784819576553688,True
resnet50_geirhos_tl,random,7,64,40,4.78942349627614,1.7836906775814243,0.7237469443462786,0.015294584607187023,0.948398118581734,0.06680023574166119,True
resnet50_geirhos_tl,random,7,8,40,0.0535148561000824,0.3870842453312552,0.340362504968411,0.01414638890451192,0.9851104752253087,0.8676925447365407,True
resnet50_geirhos_tl,random,8,16,40,0.2648031532764435,0.6913690391797991,0.23113133014794512,-0.3080159957936788,0.9815500952715169,0.7467687746581924,True
resnet50_geirhos_tl,random,8,32,40,1.8641204878687858,1.515690833031299,-0.0774233041831713,0.5838648874491832,0.9759285261656366,0.5416704258522684,True
resnet50_geirhos_tl,random,8,64,40,4.2848079215735195,1.818914383067892,-0.32168924871161836,0.0019768648705302816,0.986540390382393,0.9079147918748623,True
resnet50_geirhos_tl,random,8,8,40,-0.06844606399536132,0.4317266664254016,-0.5132504741585222,1.0003990430122798,0.970614347338119,0.3763246649191567,True
resnet50_geirhos_tl,targeted,1,16,40,1.057567024230957,0.39434001526551454,1.096767121268631,1.6927692196154602,0.9296410054991389,0.015677451038828026,False
resnet50_geirhos_tl,targeted,1,32,40,1.7769049882888794,0.5905364546227733,0.7976650105713884,0.17786124798114233,0.9344145266733349,0.022498139725338488,False
resnet50_geirhos_tl,targeted,1,64,40,2.947043314576149,0.9203417705522274,0.10020237116496596,-0.4688264728144125,0.9871985283011034,0.924146117675399,True
resnet50_geirhos_tl,targeted,1,8,40,0.5565986514091492,0.17740720686728131,0.7865779380688046,0.20801765355584978,0.9481650569089798,0.06558078589949018,True
resnet50_geirhos_tl,targeted,2,16,40,1.6166845291852951,0.538630506346925,1.8016316510357098,5.516321704466215,0.8487582602854977,8.394413897191488e-05,False
resnet50_geirhos_tl,targeted,2,32,40,2.833995185792446,0.9262299517008415,0.581028955741819,0.9625783314274501,0.9612464111038165,0.18473123749890102,True
resnet50_geirhos_tl,targeted,2,64,40,4.248738771397621,1.5391247902575556,0.11498807831444009,-1.1261409725368163,0.9513041275870958,0.0840904428880001,True
resnet50_geirhos_tl,targeted,2,8,40,0.7925490796566009,0.2693866418665179,0.5797744428640527,0.18415372946846986,0.9642699779842842,0.2337560429335782,True
resnet50_geirhos_tl,targeted,3,16,40,1.9280047055333853,0.6161979061653271,0.5442922301215043,1.499991107991451,0.9637523383938633,0.22458414988251846,True
