effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,model_type,occluder_size,num_occluders,p_value_holm,reject_holm
placement_within_model,random,targeted,40,-0.5774653732776642,0.21343506364102377,0.03374704668243129,-17.111582495255583,9.951459247663711e-20,-2.705578752743751,resnet50_geirhos_tl,8,1,3.3834961442056614e-18,True
placement_within_model,random,targeted,40,-0.8719874858856201,0.4596684365921818,0.07267996140599908,-11.997632758974543,1.15731921515555e-14,-1.8969923024304758,resnet50_geirhos_tl,8,2,1.735978822733325e-13,True
placement_within_model,random,targeted,40,-0.9551218390464783,0.4323931845430499,0.0683673653944775,-13.9704350684783,9.138600399637044e-17,-2.2089197359940913,resnet50_geirhos_tl,8,3,2.0104920879201498e-15,True
placement_within_model,random,targeted,40,-1.271238386631012,0.6218500541260382,0.0983231267068634,-12.929190000446495,1.110022484978271e-15,-2.0442844351242173,resnet50_geirhos_tl,8,4,1.9980404729608878e-14,True
placement_within_model,random,targeted,40,-1.228484582901001,0.723620824529998,0.11441449839219177,-10.737140835857906,3.2867381740039514e-13,-1.6976910299657546,resnet50_geirhos_tl,8,5,2.629390539203161e-12,True
placement_within_model,random,targeted,40,-1.228456163406372,0.6151045905385453,0.097256575266353,-12.631085970712462,2.3232559657613562e-15,-1.9971500494425123,resnet50_geirhos_tl,8,6,3.71720954521817e-14,True
placement_within_model,random,targeted,40,-1.4089240163564682,0.825733621824582,0.13055994927729,-10.791395249121322,2.8338551223467773e-13,-1.7062694059171768,resnet50_geirhos_tl,8,7,2.5504696101120995e-12,True
placement_within_model,random,targeted,40,-1.5762313097715377,0.9049093251851191,0.14307872717554726,-11.016531533982794,1.5380378987697417e-13,-1.741866578122714,resnet50_geirhos_tl,8,8,1.6918416886467158e-12,True
placement_within_model,random,targeted,40,-1.6454963684082031,0.3173770923352969,0.05018172444705531,-32.79074975082411,5.256575388148363e-30,-5.184672769860146,resnet50_tl_20250829,16,1,3.311642494533469e-28,True
placement_within_model,random,targeted,40,-3.1195865631103517,0.8497757895666663,0.13436134977493072,-23.21788645571055,1.9282632350829152e-24,-3.671070182760973,resnet50_tl_20250829,16,2,9.448489851906285e-23,True
placement_within_model,random,targeted,40,-3.1475210189819336,1.1214917175037553,0.1773234102162996,-17.7501719324176,2.7939491558071334e-20,-2.8065486083015982,resnet50_tl_20250829,16,3,1.005821696090568e-18,True
placement_within_model,random,targeted,40,-4.565341758728027,0.9806964686029802,0.15506172670346122,-29.442092873496428,2.9921984897033606e-28,-4.6552036281230205,resnet50_tl_20250829,16,4,1.8551630636160836e-26,True
placement_within_model,random,targeted,40,-5.819327735900879,1.2887318209482659,0.20376639236664085,-28.558820069945828,9.323603585075057e-28,-4.515545935397903,resnet50_tl_20250829,16,5,5.594162151045035e-26,True
placement_within_model,random,targeted,40,-5.613642883300781,1.789553776378329,0.28295329643555744,-19.839468046555478,5.560077317565704e-22,-3.1368953296623387,resnet50_tl_20250829,16,6,2.2240309270262816e-20,True
placement_within_model,random,targeted,40,-6.59979248046875,1.8037027312763867,0.2851904426350003,-23.141702854732284,2.1734925513761264e-24,-3.6590244977887347,resnet50_tl_20250829,16,7,1.0432764246605407e-22,True
placement_within_model,random,targeted,40,-8.022715950012207,1.746596607655078,0.27616117168567644,-29.050847014596147,4.9309983165707806e-28,-4.593342226161332,resnet50_tl_20250829,16,8,3.0079089731081763e-26,True
placement_within_model,random,targeted,40,-5.172397422790527,1.2280481114332575,0.19417145541986794,-26.638299700674125,1.2375461048983628e-26,-4.21188500241559,resnet50_tl_20250829,32,1,6.8065035769409955e-25,True
placement_within_model,random,targeted,40,-7.442496109008789,1.3892193572629286,0.21965486692730166,-33.88268246963999,1.5283820544214843e-30,-5.357322492016065,resnet50_tl_20250829,32,2,9.781645148297499e-29,True
placement_within_model,random,targeted,40,-11.20043487548828,3.190588794891512,0.504476383443449,-22.202099529489335,9.791977935671494e-24,-3.5104601675469507,resnet50_tl_20250829,32,3,4.406390071052173e-22,True
placement_within_model,random,targeted,40,-9.573204231262206,2.729701425916794,0.4316036919053224,-22.18054296292305,1.014250897461867e-23,-3.507051775102825,resnet50_tl_20250829,32,4,4.462703948832215e-22,True
placement_within_model,random,targeted,40,-13.968974113464355,3.583147482562085,0.5665453618597324,-24.656408919508287,2.139834308498864e-25,-3.8985205553068707,resnet50_tl_20250829,32,5,1.134112183504398e-23,True
placement_within_model,random,targeted,40,-13.079666137695312,3.4687511256493337,0.5484577096662403,-23.848085106971766,7.255850018158687e-25,-3.770713338578553,resnet50_tl_20250829,32,6,3.773042009442517e-23,True
placement_within_model,random,targeted,40,-17.050001525878905,3.780769812941128,0.5977921958851355,-28.521619457800725,9.787610843350512e-28,-4.50966400216135,resnet50_tl_20250829,32,7,5.774690397576803e-26,True
