effect_name,level_1,level_2,n_pairs,mean_diff,sd_diff,se_diff,t_value,p_value,cohens_dz,placement_type,occluder_size,num_occluders,p_value_holm,reject_holm
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.828919880278408,1.3194350126836991,0.20862099323268218,-23.146854999834783,2.1559434806993036e-24,-3.6598391234567145,targeted,16,4,7.114613486307701e-23,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-6.025553187355399,1.4229414059040562,0.22498679098094912,-26.781808661227657,1.0142870143362049e-26,-4.23457576141521,targeted,16,5,3.9557193559111994e-25,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-7.2223391979932785,1.5362124617840314,0.2428965174585956,-29.734222925713233,2.068808910389813e-28,-4.701393445022471,targeted,16,6,8.482116532598232e-27,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-8.295722363889217,1.59968546140844,0.2529324798954028,-32.798169564145404,5.211966233104599e-30,-5.185845945355573,targeted,16,7,2.293265142566024e-28,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-9.423064072430133,1.790690553710596,0.2831330367136781,-33.28140079237495,3.00339001277597e-30,-5.262251511241875,targeted,16,8,1.3815594058769463e-28,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-4.8741703748703005,1.0315070208783153,0.1630955804215167,-29.88536146885846,1.711465229212117e-28,-4.725290546951397,targeted,32,1,7.188153962690891e-27,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-9.073449195921421,1.73369388525768,0.27412107214604414,-33.100152151336026,3.68993656764203e-30,-5.2335935848172115,targeted,32,2,1.6604714554389135e-28,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-13.434550503641367,2.1043438959830016,0.3327259845789369,-40.37722067497291,1.9712531903652962e-33,-6.384199146007782,targeted,32,3,9.856265951826481e-32,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-17.28328777551651,2.18169652920187,0.34495650977809816,-50.102802195657695,5.097877199421989e-37,-7.921948604758176,targeted,32,4,2.8038324596820935e-35,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-20.806559880077838,2.8013462201160633,0.44293172851350787,-46.974643134970876,6.052781945738783e-36,-7.427343229005016,targeted,32,5,3.268502250698943e-34,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-24.819616141915322,3.4262276585889784,0.541734159170347,-45.81512116556575,1.5773731876827136e-35,-7.244006707988801,targeted,32,6,8.360077894718382e-34,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-28.42773819603026,3.3776846107584984,0.5340588293848063,-53.229600620547316,4.971177317048226e-38,-8.416338845102082,targeted,32,7,2.7838592975470064e-36,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-31.880144936591385,3.519100765801932,0.5564186867788442,-57.295244919160226,2.9186356987425897e-39,-9.059173652086812,targeted,32,8,1.692808705270702e-37,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-11.330769070982933,1.619730393027586,0.25610186186834416,-44.2432124011961,6.002984658716264e-35,-6.9954661095193496,targeted,64,1,3.0615221759452945e-33,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-22.6464993420057,3.152140381424581,0.4983971554946793,-45.43866089991652,2.1635973494803716e-35,-7.184483113588622,targeted,64,2,1.1250706217297932e-33,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-33.41795958718285,3.9102264368592525,0.6182610853739907,-54.05153320780019,2.756183983811922e-38,-8.546297798043792,targeted,64,3,1.5710248707727958e-36,True
model_within_placement,resnet50_geirhos_tl,resnet50_tl_20250829,40,-44.294478494115175,4.174792483395713,0.6600926503040566,-67.10342627464786,6.532638243598825e-42,-10.609983291453739,targeted,64,4,3.919582946159295e-40,True
