contrast_family,model_type,num_occluders,occluder_size,level_1,level_2,estimate_diff,std_error,z_value,p_value,p_value_holm,reject_holm
placement_within_model,resnet50_tl_20250829,1,32,random,targeted,-6.426391283671071,0.366600870690956,-17.52966726881702,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,1,64,random,targeted,-12.603666758537234,0.36660087069095526,-34.37980584929415,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,2,8,random,targeted,-1.5977664402553486,0.2971826068262365,-5.376379382759662,7.599856988171894e-08,1.063979978344065e-06,True
placement_within_model,resnet50_tl_20250829,2,16,random,targeted,-2.7126924333118314,0.29718260682624265,-9.128032297320463,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,2,32,random,targeted,-7.860927892866597,0.29718260682624315,-26.451507296531414,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,2,64,random,targeted,-12.909656711987047,0.29718260682624253,-43.440148970545565,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,3,8,random,targeted,-2.09308951922827,0.23999660568257195,-8.721329675789935,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,3,16,random,targeted,-3.554286697932654,0.23999660568257505,-14.809737362009336,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,3,32,random,targeted,-9.295464502062122,0.23999660568257553,-38.731649873234026,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,3,64,random,targeted,-13.21564666543686,0.2399966056825749,-55.065973236788956,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,4,8,random,targeted,-2.588412598201192,0.20552081453885704,-12.5944060897628,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,4,16,random,targeted,-4.395880962553478,0.20552081453885782,-21.388981804187765,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,4,32,random,targeted,-10.73000111125765,0.20552081453885807,-52.2088292386994,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,4,64,random,targeted,-13.521636618886674,0.20552081453885776,-65.79205444093908,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,5,8,random,targeted,-3.0837356771741136,0.2055208145388581,-15.0044932630951,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,5,16,random,targeted,-5.2374752271743015,0.20552081453885776,-25.483916258924975,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,5,32,random,targeted,-12.164537720453175,0.2055208145388581,-59.18883567947912,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,5,64,random,targeted,-13.827626572336488,0.20552081453885776,-67.28090584577798,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,6,8,random,targeted,-3.579058756147035,0.23999660568257403,-14.912955731052273,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,6,16,random,targeted,-6.079069491795124,0.23999660568257458,-25.329814455107133,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,6,32,random,targeted,-13.5990743296487,0.2399966056825753,-56.663611099713336,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,6,64,random,targeted,-14.133616525786305,0.23999660568257475,-58.89090175083461,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,7,8,random,targeted,-4.074381835119957,0.29718260682623926,-13.71002791392237,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,7,16,random,targeted,-6.920663756415948,0.29718260682624253,-23.287580085271742,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,7,32,random,targeted,-15.033610938844225,0.29718260682624287,-50.58711577839445,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,7,64,random,targeted,-14.439606479236119,0.2971826068262424,-48.58832969211657,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,8,8,random,targeted,-4.569704914092879,0.36660087069094954,-12.465068360258245,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,8,16,random,targeted,-7.7622580210367715,0.3666008706909549,-21.17359406813948,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,8,32,random,targeted,-16.468147548039752,0.3666008706909556,-44.92119049526861,0.0,0.0,True
placement_within_model,resnet50_tl_20250829,8,64,random,targeted,-14.745596432685932,0.36660087069095504,-40.222480663763854,0.0,0.0,True
