case_id,prefix,model_type,cluster_rank,target_k,selected_member_position,global_index,eligible_row,resp,n_shapes_in_cluster,base_grid,source_top10_jsonl,source_shapes_npz,source_occluder_config,output_png,status,error
ns_cow_350,texture,resnet50_tl_20250829,1.0,7.0,0,4252.0,4252.0,0.9999572749566201,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_cow_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_350/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_cow_350_representative.png,ok,
ns_cow_510,texture,resnet50_tl_20250829,1.0,65.0,0,833.0,833.0,0.996670728058876,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_cow_510/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_510/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_510/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_cow_510_representative.png,ok,
ns_cow_780,texture,resnet50_tl_20250829,1.0,1.0,0,6.0,6.0,0.9962464807764724,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_cow_780/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_780/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_cow_780/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_cow_780_representative.png,ok,
ns_dog_105,texture,resnet50_tl_20250829,1.0,0.0,0,6383.0,6383.0,0.0179632168533957,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_dog_105/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_105/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_105/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_dog_105_representative.png,ok,
ns_dog_214,texture,resnet50_tl_20250829,1.0,0.0,0,4966.0,4966.0,0.022345807176104685,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_dog_214/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_214/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_214/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_dog_214_representative.png,ok,
ns_dog_350,texture,resnet50_tl_20250829,1.0,10.0,0,1.0,1.0,0.990837646947187,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_dog_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_350/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_350/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_dog_350_representative.png,ok,
ns_dog_69,texture,resnet50_tl_20250829,1.0,19.0,0,2906.0,2906.0,0.46480621459399685,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_dog_69/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_69/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_69/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_dog_69_representative.png,ok,
ns_dog_780,texture,resnet50_tl_20250829,,,0,,,,,,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_dog_780/top10_clusters.jsonl,,,,failed,Missing shapes_xy.npz: /home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_dog_780/resnet50_tl_20250829/size_32/generated/shapes_xy.npz
ns_elephant_100,texture,resnet50_tl_20250829,1.0,40.0,0,3611.0,3611.0,0.9999999999998153,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_elephant_100/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_100/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_100/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_elephant_100_representative.png,ok,
ns_elephant_109,texture,resnet50_tl_20250829,1.0,20.0,0,8644.0,8644.0,0.5004787451617335,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_elephant_109/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_109/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_109/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_elephant_109_representative.png,ok,
ns_elephant_350,texture,resnet50_tl_20250829,1.0,21.0,0,4659.0,4659.0,0.5101461628582267,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_elephant_350/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_350/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_350/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_elephant_350_representative.png,ok,
ns_elephant_47,texture,resnet50_tl_20250829,1.0,36.0,0,8890.0,8890.0,0.8655890703709204,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_elephant_47/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_47/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_47/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_elephant_47_representative.png,ok,
ns_elephant_780,texture,resnet50_tl_20250829,1.0,5.0,0,17.0,17.0,0.7680298149499396,25.0,256.0,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/bgmm_generated_size16_both_models/source_resnet50_tl_20250829/size_32/ns_elephant_780/top10_clusters.jsonl,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_780/resnet50_tl_20250829/size_32/generated/shapes_xy.npz,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/data/cases/generated_from_best_occluders/ns_elephant_780/resnet50_tl_20250829/size_32/generated/source_occluder_config.json,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/occlusion/representative_shape_plots_size32/texture_ns_elephant_780_representative.png,ok,
