case_id,model_type,placement_type,num_occluders,occluder_size,target_class,target_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,is_correct_baseline,is_correct_post_occlusion,prediction_changed
ns_cow_202,resnet50_geirhos_tl,random,2,64,37,pig,7.092348575592041,3.303256034851074,3.789092540740967,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,3,64,37,pig,7.092348575592041,5.370565414428711,1.72178316116333,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,4,64,37,pig,7.092348575592041,1.4368771314620972,5.655471444129944,0,0,1
ns_cow_202,resnet50_geirhos_tl,random,5,64,37,pig,7.092348575592041,3.1984660625457764,3.8938825130462646,0,0,0
ns_cow_202,resnet50_geirhos_tl,random,6,64,37,pig,7.092348575592041,2.3479959964752197,4.744352579116821,0,0,1
ns_cow_202,resnet50_geirhos_tl,random,7,64,37,pig,7.092348575592041,0.3589119017124176,6.733436673879623,0,0,1
ns_cow_202,resnet50_geirhos_tl,random,8,64,37,pig,7.092348575592041,0.9997565150260925,6.0925920605659485,0,0,1
ns_cow_202,resnet50_tl_20250829,targeted,1,8,17,dog,150.31063842773438,149.33460998535156,0.9760284423828125,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,2,8,17,dog,150.31063842773438,148.41770935058594,1.8929290771484375,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,3,8,17,dog,150.31063842773438,147.5801544189453,2.7304840087890625,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,4,8,17,dog,150.31063842773438,146.91200256347656,3.3986358642578125,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,5,8,17,dog,150.31063842773438,146.11441040039062,4.19622802734375,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,6,8,17,dog,150.31063842773438,145.6356964111328,4.6749420166015625,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,7,8,17,dog,150.31063842773438,144.9868621826172,5.3237762451171875,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,8,8,17,dog,150.31063842773438,144.28431701660156,6.0263214111328125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,1,8,17,dog,150.31063842773438,150.20864868164062,0.10198974609375,0,0,0
ns_cow_202,resnet50_tl_20250829,random,2,8,17,dog,150.31063842773438,150.0068817138672,0.3037567138671875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,3,8,17,dog,150.31063842773438,149.77383422851562,0.53680419921875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,4,8,17,dog,150.31063842773438,149.56771850585938,0.742919921875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,5,8,17,dog,150.31063842773438,149.67422485351562,0.63641357421875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,6,8,17,dog,150.31063842773438,149.44012451171875,0.870513916015625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,7,8,17,dog,150.31063842773438,149.33778381347656,0.9728546142578125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,8,8,17,dog,150.31063842773438,149.5311737060547,0.7794647216796875,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,1,16,17,dog,150.31063842773438,148.13226318359375,2.178375244140625,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,2,16,17,dog,150.31063842773438,145.7427215576172,4.5679168701171875,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,3,16,17,dog,150.31063842773438,144.91046142578125,5.400177001953125,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,4,16,17,dog,150.31063842773438,143.02752685546875,7.283111572265625,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,5,16,17,dog,150.31063842773438,142.26797485351562,8.04266357421875,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,6,16,17,dog,150.31063842773438,140.6315155029297,9.679122924804688,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,7,16,17,dog,150.31063842773438,139.26333618164062,11.04730224609375,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,8,16,17,dog,150.31063842773438,138.76303100585938,11.547607421875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,1,16,17,dog,150.31063842773438,149.81822204589844,0.4924163818359375,0,0,0
ns_cow_202,resnet50_tl_20250829,random,2,16,17,dog,150.31063842773438,150.24591064453125,0.064727783203125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,3,16,17,dog,150.31063842773438,147.1103057861328,3.2003326416015625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,4,16,17,dog,150.31063842773438,147.8373565673828,2.4732818603515625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,5,16,17,dog,150.31063842773438,146.4373779296875,3.873260498046875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,6,16,17,dog,150.31063842773438,145.7940216064453,4.5166168212890625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,7,16,17,dog,150.31063842773438,144.5074920654297,5.8031463623046875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,8,16,17,dog,150.31063842773438,145.97743225097656,4.3332061767578125,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,1,32,17,dog,150.31063842773438,143.326416015625,6.984222412109375,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,2,32,17,dog,150.31063842773438,137.03793334960938,13.272705078125,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,3,32,17,dog,150.31063842773438,132.62940979003906,17.681228637695312,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,4,32,17,dog,150.31063842773438,126.59244537353516,23.71819305419922,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,5,32,17,dog,150.31063842773438,121.0862045288086,29.22443389892578,0,0,1
ns_cow_202,resnet50_tl_20250829,targeted,6,32,17,dog,150.31063842773438,116.26087951660156,34.04975891113281,0,0,1
ns_cow_202,resnet50_tl_20250829,targeted,7,32,17,dog,150.31063842773438,111.89811706542969,38.41252136230469,0,0,1
ns_cow_202,resnet50_tl_20250829,targeted,8,32,17,dog,150.31063842773438,107.98374938964844,42.32688903808594,0,0,1
ns_cow_202,resnet50_tl_20250829,random,1,32,17,dog,150.31063842773438,149.14102172851562,1.16961669921875,0,0,0
ns_cow_202,resnet50_tl_20250829,random,2,32,17,dog,150.31063842773438,144.7265167236328,5.5841217041015625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,3,32,17,dog,150.31063842773438,147.04286193847656,3.2677764892578125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,4,32,17,dog,150.31063842773438,135.1830596923828,15.127578735351562,0,0,0
ns_cow_202,resnet50_tl_20250829,random,5,32,17,dog,150.31063842773438,139.643798828125,10.666839599609375,0,0,0
ns_cow_202,resnet50_tl_20250829,random,6,32,17,dog,150.31063842773438,131.73855590820312,18.57208251953125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,7,32,17,dog,150.31063842773438,130.79803466796875,19.512603759765625,0,0,0
ns_cow_202,resnet50_tl_20250829,random,8,32,17,dog,150.31063842773438,123.48225402832031,26.828384399414062,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,1,64,17,dog,150.31063842773438,135.64505004882812,14.66558837890625,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,2,64,17,dog,150.31063842773438,121.94966888427734,28.36096954345703,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,3,64,17,dog,150.31063842773438,108.2809829711914,42.02965545654297,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,4,64,17,dog,150.31063842773438,96.6865234375,53.624114990234375,0,0,1
ns_cow_202,resnet50_tl_20250829,targeted,5,64,17,dog,150.31063842773438,86.56190490722656,63.74873352050781,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,6,64,17,dog,150.31063842773438,78.8790054321289,71.43163299560547,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,7,64,17,dog,150.31063842773438,75.92851257324219,74.38212585449219,0,0,0
ns_cow_202,resnet50_tl_20250829,targeted,8,64,17,dog,150.31063842773438,68.14789581298828,82.1627426147461,0,0,0
ns_cow_202,resnet50_tl_20250829,random,1,64,17,dog,150.31063842773438,145.52613830566406,4.7845001220703125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,2,64,17,dog,150.31063842773438,133.54470825195312,16.76593017578125,0,0,0
ns_cow_202,resnet50_tl_20250829,random,3,64,17,dog,150.31063842773438,123.08036041259766,27.23027801513672,0,0,0
ns_cow_202,resnet50_tl_20250829,random,4,64,17,dog,150.31063842773438,110.94853973388672,39.362098693847656,0,0,0
ns_cow_202,resnet50_tl_20250829,random,5,64,17,dog,150.31063842773438,103.81937408447266,46.49126434326172,0,0,0
ns_cow_202,resnet50_tl_20250829,random,6,64,17,dog,150.31063842773438,96.91905975341797,53.391578674316406,0,0,1
