case_id,model_type,placement_type,num_occluders,occluder_size,occluder_id,x0,y0,width,height,size
ns_cow_202,resnet50_geirhos_tl,random,3,16,1,80,24,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,3,16,2,16,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,3,16,3,112,48,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,4,16,1,40,80,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,4,16,2,104,176,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,4,16,3,160,192,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,4,16,4,0,160,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,5,16,1,128,144,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,5,16,2,64,176,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,5,16,3,64,112,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,5,16,4,208,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,5,16,5,88,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,1,184,152,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,2,160,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,3,112,144,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,4,136,168,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,5,88,208,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,6,16,6,72,72,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,1,56,40,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,2,72,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,3,112,184,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,4,96,192,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,5,192,176,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,6,72,208,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,7,16,7,184,8,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,1,64,8,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,2,184,128,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,3,0,8,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,4,48,96,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,5,168,208,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,6,72,104,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,7,128,64,16,16,16
ns_cow_202,resnet50_geirhos_tl,random,8,16,8,16,200,16,16,16
ns_cow_202,resnet50_geirhos_tl,targeted,1,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,2,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,2,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,3,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,3,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,3,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,4,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,4,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,4,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,4,32,4,192,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,5,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,5,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,5,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,5,32,4,192,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,5,32,5,112,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,4,192,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,5,112,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,6,32,6,80,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,4,192,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,5,112,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,6,80,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,7,32,7,128,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,1,80,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,2,112,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,3,48,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,4,192,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,5,112,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,6,80,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,7,128,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,targeted,8,32,8,176,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,1,32,1,192,112,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,2,32,1,128,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,2,32,2,0,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,3,32,1,176,80,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,3,32,2,32,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,3,32,3,192,160,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,4,32,1,32,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,4,32,2,64,176,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,4,32,3,64,32,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,4,32,4,176,0,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,5,32,1,32,48,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,5,32,2,80,0,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,5,32,3,160,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,5,32,4,64,48,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,5,32,5,64,192,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,6,32,1,80,96,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,6,32,2,176,128,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,6,32,3,128,160,32,32,32
ns_cow_202,resnet50_geirhos_tl,random,6,32,4,176,0,32,32,32
