case_id,model_type,occluder_size,stride,placement_type,num_occluders,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_confidence,post_occlusion_confidence
s_bird_17,shape_biased,16,1,targeted,1,5.135880470275879,4.128170013427734,1.0077104568481445,5,bird,5,bird,0.27608194947242737,0.16586534678936005
s_bird_17,shape_biased,16,1,targeted,2,5.135880470275879,4.517792224884033,0.6180882453918457,5,bird,5,bird,0.27608194947242737,0.20626427233219147
s_bird_17,shape_biased,16,1,targeted,3,5.135880470275879,3.4668986797332764,1.6689817905426025,5,bird,40,seal,0.27608194947242737,0.17300724983215332
s_bird_17,shape_biased,16,1,targeted,4,5.135880470275879,2.713691473007202,2.4221889972686768,5,bird,46,squirrel,0.27608194947242737,0.26743263006210327
s_bird_17,shape_biased,16,1,targeted,5,5.135880470275879,2.396304130554199,2.7395763397216797,5,bird,1,bat,0.27608194947242737,0.17810069024562836
s_bird_17,shape_biased,16,1,targeted,6,5.135880470275879,3.357635974884033,1.7782444953918457,5,bird,18,dolphin,0.27608194947242737,0.1898891031742096
s_bird_17,shape_biased,16,1,targeted,7,5.135880470275879,3.023211717605591,2.112668752670288,5,bird,22,fish,0.27608194947242737,0.19481536746025085
s_bird_17,shape_biased,16,1,targeted,8,5.135880470275879,3.481935977935791,1.653944492340088,5,bird,41,shark,0.27608194947242737,0.2015749216079712
s_bird_17,shape_biased,16,1,random,1,5.135880470275879,6.131542205810547,-0.995661735534668,5,bird,5,bird,0.27608194947242737,0.4737238883972168
s_bird_17,shape_biased,16,1,random,2,5.135880470275879,4.916193008422852,0.21968746185302734,5,bird,18,dolphin,0.27608194947242737,0.2403702437877655
s_bird_17,shape_biased,16,1,random,3,5.135880470275879,4.404719829559326,0.7311606407165527,5,bird,18,dolphin,0.27608194947242737,0.3547200560569763
s_bird_17,shape_biased,16,1,random,4,5.135880470275879,5.274339199066162,-0.1384587287902832,5,bird,18,dolphin,0.27608194947242737,0.31418582797050476
s_bird_17,shape_biased,16,1,random,5,5.135880470275879,5.169257640838623,-0.03337717056274414,5,bird,5,bird,0.27608194947242737,0.25850269198417664
s_bird_17,shape_biased,16,1,random,6,5.135880470275879,5.825242042541504,-0.689361572265625,5,bird,5,bird,0.27608194947242737,0.3812830448150635
s_bird_17,shape_biased,16,1,random,7,5.135880470275879,5.832496166229248,-0.6966156959533691,5,bird,5,bird,0.27608194947242737,0.379898339509964
s_bird_17,shape_biased,16,1,random,8,5.135880470275879,5.128507614135742,0.007372856140136719,5,bird,5,bird,0.27608194947242737,0.345742791891098
