case_id,model_type,occluder_size,stride,y0,x0,y_center,x_center,baseline_pred_class,baseline_pred_class_name,post_occlusion_pred_class,post_occlusion_pred_class_name,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,baseline_confidence,post_occlusion_confidence,prediction_changed,baseline_class_still_top1
s_bird_17,shape_biased,8,4,4,116,8.0,120.0,5,bird,5,bird,5.135880470275879,5.141178131103516,-0.005297660827636719,0.27608194947242737,0.2842849791049957,0,1
s_bird_17,shape_biased,8,4,4,120,8.0,124.0,5,bird,5,bird,5.135880470275879,5.03400182723999,0.10187864303588867,0.27608194947242737,0.2674866318702698,0,1
s_bird_17,shape_biased,8,4,4,124,8.0,128.0,5,bird,5,bird,5.135880470275879,4.993905544281006,0.14197492599487305,0.27608194947242737,0.26395654678344727,0,1
s_bird_17,shape_biased,8,4,4,128,8.0,132.0,5,bird,5,bird,5.135880470275879,5.022528171539307,0.11335229873657227,0.27608194947242737,0.2632639706134796,0,1
s_bird_17,shape_biased,8,4,4,132,8.0,136.0,5,bird,5,bird,5.135880470275879,5.042580604553223,0.09329986572265625,0.27608194947242737,0.2632348835468292,0,1
s_bird_17,shape_biased,8,4,4,136,8.0,140.0,5,bird,5,bird,5.135880470275879,5.0581746101379395,0.07770586013793945,0.27608194947242737,0.26175758242607117,0,1
s_bird_17,shape_biased,8,4,4,140,8.0,144.0,5,bird,18,dolphin,5.135880470275879,4.993518829345703,0.14236164093017578,0.27608194947242737,0.2578449845314026,1,0
s_bird_17,shape_biased,8,4,4,144,8.0,148.0,5,bird,18,dolphin,5.135880470275879,5.014490127563477,0.12139034271240234,0.27608194947242737,0.2552635967731476,1,0
s_bird_17,shape_biased,8,4,4,148,8.0,152.0,5,bird,18,dolphin,5.135880470275879,4.990011215209961,0.14586925506591797,0.27608194947242737,0.2693893313407898,1,0
s_bird_17,shape_biased,8,4,4,152,8.0,156.0,5,bird,18,dolphin,5.135880470275879,4.989927768707275,0.14595270156860352,0.27608194947242737,0.27528291940689087,1,0
s_bird_17,shape_biased,8,4,4,156,8.0,160.0,5,bird,18,dolphin,5.135880470275879,4.952879905700684,0.1830005645751953,0.27608194947242737,0.2876121401786804,1,0
s_bird_17,shape_biased,8,4,4,160,8.0,164.0,5,bird,18,dolphin,5.135880470275879,4.968338489532471,0.1675419807434082,0.27608194947242737,0.27646350860595703,1,0
s_bird_17,shape_biased,8,4,4,164,8.0,168.0,5,bird,18,dolphin,5.135880470275879,4.969550132751465,0.16633033752441406,0.27608194947242737,0.28227248787879944,1,0
s_bird_17,shape_biased,8,4,4,168,8.0,172.0,5,bird,18,dolphin,5.135880470275879,4.97430419921875,0.1615762710571289,0.27608194947242737,0.29052892327308655,1,0
s_bird_17,shape_biased,8,4,4,172,8.0,176.0,5,bird,18,dolphin,5.135880470275879,4.97649621963501,0.15938425064086914,0.27608194947242737,0.2892281413078308,1,0
