case_id,model_type,occluder_size,stride,x0,y0,x_center,y_center,x0_norm,y0_norm,x1_norm,y1_norm,x_center_norm,y_center_norm,baseline_target_logit,post_occlusion_target_logit,target_logit_drop,intersects_shape,source_file
ns_cow_510,resnet50_geirhos_tl,16,8,8,48,16.0,56.0,0.03571428571428571,0.21428571428571427,0.10714285714285714,0.2857142857142857,0.07142857142857142,0.25,6.473172187805176,5.303123950958252,1.1700482368469238,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_geirhos_tl/position_scores_size_16.csv
ns_cow_510,resnet50_geirhos_tl,32,16,16,128,32.0,144.0,0.07142857142857142,0.5714285714285714,0.21428571428571427,0.7142857142857143,0.14285714285714285,0.6428571428571429,6.473172187805176,4.012476921081543,2.460695266723633,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_geirhos_tl/position_scores_size_32.csv
ns_cow_510,resnet50_geirhos_tl,64,32,0,96,32.0,128.0,0.0,0.42857142857142855,0.2857142857142857,0.7142857142857143,0.14285714285714285,0.5714285714285714,6.473172187805176,1.6877793073654177,4.785392880439758,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_geirhos_tl/position_scores_size_64.csv
ns_cow_510,resnet50_tl_20250829,8,4,48,48,52.0,52.0,0.21428571428571427,0.21428571428571427,0.25,0.25,0.23214285714285715,0.23214285714285715,152.57012939453125,151.57705688476562,0.993072509765625,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_tl_20250829/position_scores_size_8.csv
ns_cow_510,resnet50_tl_20250829,16,8,64,168,72.0,176.0,0.2857142857142857,0.75,0.35714285714285715,0.8214285714285714,0.32142857142857145,0.7857142857142857,152.57012939453125,150.48594665527344,2.0841827392578125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_tl_20250829/position_scores_size_16.csv
ns_cow_510,resnet50_tl_20250829,32,16,48,160,64.0,176.0,0.21428571428571427,0.7142857142857143,0.35714285714285715,0.8571428571428571,0.2857142857142857,0.7857142857142857,152.57012939453125,145.9390106201172,6.631118774414063,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_tl_20250829/position_scores_size_32.csv
ns_cow_510,resnet50_tl_20250829,64,32,32,0,64.0,32.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,152.57012939453125,136.21685791015625,16.353271484375,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_510/resnet50_tl_20250829/position_scores_size_64.csv
ns_cow_780,resnet50_geirhos_tl,8,4,156,36,160.0,40.0,0.6964285714285714,0.16071428571428573,0.7321428571428571,0.19642857142857142,0.7142857142857143,0.17857142857142858,6.982400417327881,6.653270244598389,0.3291301727294922,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_geirhos_tl/position_scores_size_8.csv
ns_cow_780,resnet50_geirhos_tl,16,8,8,56,16.0,64.0,0.03571428571428571,0.25,0.10714285714285714,0.32142857142857145,0.07142857142857142,0.2857142857142857,6.982400417327881,6.263202667236328,0.7191977500915527,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_geirhos_tl/position_scores_size_16.csv
ns_cow_780,resnet50_geirhos_tl,32,16,0,144,16.0,160.0,0.0,0.6428571428571429,0.14285714285714285,0.7857142857142857,0.07142857142857142,0.7142857142857143,6.982400417327881,4.5103068351745605,2.4720935821533203,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_geirhos_tl/position_scores_size_32.csv
ns_cow_780,resnet50_geirhos_tl,64,32,0,128,32.0,160.0,0.0,0.5714285714285714,0.2857142857142857,0.8571428571428571,0.14285714285714285,0.7142857142857143,6.982400417327881,2.7288713455200195,4.253529071807861,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_geirhos_tl/position_scores_size_64.csv
ns_cow_780,resnet50_tl_20250829,8,4,156,172,160.0,176.0,0.6964285714285714,0.7678571428571429,0.7321428571428571,0.8035714285714286,0.7142857142857143,0.7857142857142857,143.73995971679688,142.8989715576172,0.8409881591796875,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_tl_20250829/position_scores_size_8.csv
ns_cow_780,resnet50_tl_20250829,16,8,160,160,168.0,168.0,0.7142857142857143,0.7142857142857143,0.7857142857142857,0.7857142857142857,0.75,0.75,143.73995971679688,141.9084014892578,1.8315582275390625,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_tl_20250829/position_scores_size_16.csv
ns_cow_780,resnet50_tl_20250829,32,16,64,160,80.0,176.0,0.2857142857142857,0.7142857142857143,0.42857142857142855,0.8571428571428571,0.35714285714285715,0.7857142857142857,143.73995971679688,137.2785186767578,6.461441040039063,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_tl_20250829/position_scores_size_32.csv
ns_cow_780,resnet50_tl_20250829,64,32,32,0,64.0,32.0,0.14285714285714285,0.0,0.42857142857142855,0.2857142857142857,0.2857142857142857,0.14285714285714285,143.73995971679688,129.06491088867188,14.675048828125,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_cow_780/resnet50_tl_20250829/position_scores_size_64.csv
ns_dog_105,resnet50_geirhos_tl,8,4,92,8,96.0,12.0,0.4107142857142857,0.03571428571428571,0.44642857142857145,0.07142857142857142,0.42857142857142855,0.05357142857142857,4.399888515472412,3.374697685241699,1.025190830230713,1,/home/hschatzle/data/storage-occ-v2/repos/monte-carlo-selection/results/part1_occlusion_robustness/artifacts/ns_dog_105/resnet50_geirhos_tl/position_scores_size_8.csv
