case_id,model_type,occluder_size,case_base_id,n_clusters,debiased_entropy,max_debiased_mass_prop,top2_debiased_mass_prop,effective_n_hypotheses,sum_mass_debias_nonnegative,mean_cluster_n_shapes
ns_elephant_100,shape_biased,8,ns_elephant_100,10.0,2.3025737662338743,0.10099234644047422,0.2015442425950007,9.99988673303976,1454.026247124941,25.0
ns_elephant_100,shape_biased,16,ns_elephant_100,10.0,2.0656067103787352,0.3258751246613765,0.44352213913185445,7.890083441301531,5633.017528642749,25.0
ns_elephant_100,shape_biased,32,ns_elephant_100,10.0,2.2736155086350296,0.13622636659954795,0.27242491187645956,9.714460111703726,2194.562667573918,25.0
ns_elephant_100,shape_biased,64,ns_elephant_100,10.0,2.2800195754303387,0.13753421362340218,0.2639879768681062,9.776871794128418,3667.2550436256674,25.0
ns_elephant_100,texture_biased,8,ns_elephant_100,10.0,2.3025850679431157,0.10003435941213118,0.20006140878884893,9.999999749490703,1256.7681423750876,25.0
ns_elephant_100,texture_biased,16,ns_elephant_100,10.0,2.271749538940046,0.1393884528898522,0.2640195747561623,9.6963501251299,3856.2740925521466,25.0
ns_elephant_100,texture_biased,32,ns_elephant_100,10.0,1.9750820832890086,0.3668081925856492,0.5211623794260839,7.207211221142851,6523.961822292963,25.0
ns_elephant_100,texture_biased,64,ns_elephant_100,10.0,1.9876548502246076,0.34653460795770996,0.4831683234111644,7.298397840954643,6359.648115033612,25.0
ns_elephant_109,shape_biased,8,ns_elephant_109,10.0,2.2915336501546704,0.12930817422210378,0.2571770600094856,9.890094000150004,2052.9501902322804,25.0
ns_elephant_109,shape_biased,16,ns_elephant_109,10.0,2.1999330329566678,0.22153228735396482,0.3729413106417294,9.024409141200298,3544.1571203579747,25.0
ns_elephant_109,shape_biased,32,ns_elephant_109,10.0,2.282804211575594,0.1287081208322545,0.25355676443315156,9.804134765825209,2845.7940227957174,25.0
ns_elephant_109,shape_biased,64,ns_elephant_109,10.0,2.2953213009685576,0.1146974303595054,0.2277534141993599,9.927625255514517,3468.291249923522,25.0
ns_elephant_109,texture_biased,8,ns_elephant_109,10.0,2.302585068167786,0.10003457157568273,0.20006330695084815,9.999999751737407,1256.762351628872,25.0
ns_elephant_109,texture_biased,16,ns_elephant_109,10.0,2.302585067877139,0.10003456565548952,0.2000616061944941,9.999999748830938,1256.7966488248421,25.0
ns_elephant_109,texture_biased,32,ns_elephant_109,10.0,2.291352838498633,0.13014182864608573,0.2599917406544303,9.888305917533431,1365.3101865109227,25.0
ns_elephant_109,texture_biased,64,ns_elephant_109,10.0,2.100469862319658,0.2935739986207778,0.4336309992227294,8.170007789671802,3865.5466253912905,25.0
ns_elephant_350,shape_biased,8,ns_elephant_350,10.0,2.2531331740775613,0.19994308877035014,0.2996274904406042,9.517509182517419,2070.400969756618,25.0
ns_elephant_350,shape_biased,16,ns_elephant_350,10.0,2.2460528147439422,0.15313852404320805,0.30579297675441786,9.45035979895116,2508.0948698294114,25.0
ns_elephant_350,shape_biased,32,ns_elephant_350,10.0,2.2495931957809128,0.15962474102798632,0.3138450609547483,9.483876970345413,3882.1531322491282,25.0
ns_elephant_350,shape_biased,64,ns_elephant_350,10.0,2.271741852561084,0.1675057544938292,0.29279252072686496,9.69627559559472,3607.109491829358,25.0
